An error occured during the payment process:,An error occured during the payment process:
Customer canceled the payment process,Customer canceled the payment process
Customer was redirected to Faspay.,Customer was redirected to Faspay.
Incorrect data was submitted,Incorrect data was submitted
Payment Failed or Cancelled,Payment Failed or Cancelled
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
Faspay Transaction ID: %s,Faspay Transaction ID: %s
You will be redirected to Faspay secure payment page when you place an order.,You will be redirected to Faspay secure payment page when you place an order.
Shopping basket,Shopping basket
Payment has not been processed yet.,Payment has not been processed yet.
Merchant Code,Merchant Code
Displayed Text,Displayed Text
Enabled,Enabled
New order status,New order status
Payment from Specific countries,Payment from Specific countries
Payment from applicable countries,Payment from applicable countries
Merchant Key,Merchant Key
Sort order,Sort order
Payment Name to Customers,Payment Name to Customers
Faspay Account Settings,Faspay Account Settings
Redirecting to secure payment page powered by Faspay…,Redirecting to secure payment page powered by Faspay...
"Apologies. Your payment was not successful. If there is an error on our end, kindly email us the following details for verification.","Apologies. Your payment was not successful. If there is an error on our end, kindly email us the following details for verification."
